,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class;;
1,Boston,Hitch a Ride,54.0,0.382,0.814,3.0,-7.23,1.0,0.0406,0.0011,0.00401,0.101,0.569,116.454,251733.0,4.0,10.0
2,The Raincoats,No Side to Fall In,35.0,0.434,0.614,6.0,-8.334,1.0,0.0525,0.486,0.000196,0.394,0.787,147.681,109667.0,4.0,6.0
4,Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,53.0,0.167,0.975,2.0,-4.279,1.0,0.216,0.000169,0.0161,0.172,0.0918,199.06,229960.0,4.0,10.0
5,The Stooges,Search and Destroy - Iggy Pop Mix,53.0,0.235,0.977,6.0,0.878,1.0,0.107,0.00353,0.00604,0.172,0.241,152.952,208133.0,4.0,6.0
6,Solomon Burke,None Of Us Are Free,48.0,0.674,0.658,5.0,-9.647,0.0,0.104,0.404,1.34e-06,0.0981,0.677,143.292,329387.0,4.0,2.0
7,Randy Travis,On the Other Hand,55.0,0.657,0.415,5.0,-9.915,1.0,0.025,0.175,5.65e-06,0.132,0.347,96.03,3.105783333,4.0,4.0
8,Professional Murder Music,Slow,29.0,0.431,0.776,10.0,-5.403,1.0,0.0527,2.21e-05,0.0013,0.179,0.318,120.857,237867.0,4.0,8.0
10,Mohammed Rafi,Meri Dosti Mera Pyar,11.0,0.491,0.563,7.0,-8.588,0.0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045,4.0,3.0
13,Buffalo Springfield,For What It's Worth,76.0,0.653,0.519,2.0,-10.164,1.0,0.0497,0.406,0.0209,0.101,0.822,98.883,153693.0,4.0,10.0
14,Elmore James,Madison Blues,37.0,0.431,0.852,2.0,-6.522,1.0,0.0431,0.564,0.208,0.254,0.794,67.601,146800.0,4.0,2.0
15,Dudu Aharon,לא יכול בלעדייך,14.0,0.713,0.939,5.0,-3.609,0.0,0.0372,0.11,5.88e-06,0.331,0.88,108.034,179320.0,4.0,9.0
16,Velvet Two Stripes,Drinks,31.0,0.564,0.801,1.0,-4.73,0.0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154293.0,4.0,10.0
17,Eden Ben Zaken,מנגינה,29.0,0.57,0.458,9.0,-5.935,0.0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,217529.0,4.0,9.0
19,Mura Masa,Teenage Headache Dreams (with Ellie Rowsell),48.0,0.347,0.411,6.0,-8.071,1.0,0.0414,0.0181,0.636,0.0975,0.395,171.991,283013.0,4.0,6.0
20,Clairmont The Second,intres-ting,44.0,0.796,0.441,7.0,-9.83,1.0,0.292,0.16,2.89e-05,0.118,0.371,158.105,137872.0,4.0,1.0
21,Krankhead,Cut Throat,29.0,0.805,0.448,7.0,-9.452,1.0,0.112,0.0602,1.79e-06,0.113,0.775,160.018,138000.0,4.0,5.0
22,The Stone Roses,Driving South,44.0,0.472,0.947,9.0,-6.128,1.0,0.0774,9.43e-06,0.0155,0.364,0.75,98.784,309867.0,4.0,10.0
24,MC Hammer,U Can't Touch This,73.0,0.867,0.517,11.0,-13.222,0.0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360.0,4.0,9.0
25,duendita,Open Eyes,35.0,0.341,0.47,5.0,-10.144,1.0,0.037,0.226,0.105,0.518,0.203,144.109,204280.0,4.0,1.0
26,Rainbow,Since You Been Gone,66.0,0.733,0.726,7.0,-6.514,1.0,0.0371,0.379,2.58e-06,0.471,0.915,120.814,197160.0,4.0,8.0
27,fijitrip,Private Social Network,30.0,0.696,0.661,6.0,-5.996,1.0,0.0877,0.00103,3.21e-05,0.114,0.397,121.032,180822.0,4.0,6.0
30,Tetrarch,Negative Noise,49.0,0.384,0.974,1.0,-3.647,0.0,0.141,0.000153,0.000247,0.226,0.155,194.842,247370.0,4.0,8.0
33,Brandon Jack & The Artifacts,four days,29.0,0.516,0.948,2.0,-3.994,1.0,0.0644,0.0279,0.0564,0.15,0.957,170.087,130329.0,4.0,1.0
36,Vieux Farka Touré,Bonheur,37.0,0.569,0.751,7.0,-12.826,1.0,0.0418,0.365,0.856,0.0561,0.758,105.156,338292.0,4.0,2.0
37,Kvelertak,Crack of Doom (feat. Troy Sanders),44.0,0.357,0.977,1.0,-6.489,0.0,0.124,1.6e-05,0.892,0.105,0.28,159.81,233929.0,4.0,8.0
